Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,Daly 08-28-009-29 W1M,Manitoba,Oil and gas extraction (except oil sands),Daly 08-28-009-29 W1M,9605.46,250.32,10.6,0.0,0.0,0.0,9866.38
2023,Cromer 13-10-009-28 W1M,Manitoba,Oil and gas extraction (except oil sands),Cromer 13-10-009-28 W1M,10251.5,248.36,10.6,0.0,0.0,0.0,10510.46
2023,Waskada 15-21-001-25 W1M,Manitoba,Oil and gas extraction (except oil sands),Waskada 15-21-001-25 W1M,13282.6,1237.04,55.65,0.0,0.0,0.0,14575.29
2023,Goodlands 16-10-001-24 W1M,Manitoba,Oil and gas extraction (except oil sands),Goodlands 16-10-001-24 W1M,10399.62,739.48,10.6,0.0,0.0,0.0,11149.7
2023,Winnipeg,Manitoba,Rendering and Meat Processing from Carcasses,Winnipeg,14349.9094,7.6216,63.6795,0.0,0.0,0.0,14421.2105
2023,Natural Gas Distribution System,Manitoba,Natural Gas Distribution,Manitoba Hydro,1701.9935,39116.7952,7.526,0.0,0.0,0.0,40826.3147
2023,Kola 12-24-010-29 W1M,Manitoba,Oil and gas extraction (except oil sands),Kola 12-24-010-29 W1M,16637.81,371.0,15.9,0.0,0.0,0.0,17024.71
2023,Consumer Foods - Winnipeg,Manitoba,Rendering and Meat Processing from Carcasses,Consumer Foods - Winnipeg,13535.75,0.74312,6.098445,0.0,0.0,0.0,13542.59157
2023,Winnipeg Wallboard Plant,Manitoba,Gypsum Product Manufacturing,CertainTeed Gypsum,17229.54378,10.44778,79.82012,0.0,0.0,0.0,17319.81168
2023,Daly Unit No. 3 Battery,Manitoba,Oil and gas extraction (except oil sands),Daly Unit No. 3 Battery,12213.61,285.376,12.19,0.0,0.0,0.0,12511.176
